development,시도,시군구,읍면,동리,단지코드,단지명,법정동주소,도로명주소,사용승인일,세대수
위례,경기도,성남수정구,,창곡동,A10027720,힐스테이트위례,"경기도 성남수정구 창곡동 572,경기도 성남수정구 창곡동  힐스테이트위례",경기도 성남시 수정구 위례동로 15,20151127,621.0
위례,서울특별시,송파구,,장지동,A10027744,위례아이파크아파트,서울특별시 송파구 장지동 894 위례아이파크아파트,서울특별시 송파구 위례광장로 136,20151130,400.0
위례,경기도,성남수정구,,창곡동,A10027692,위례더힐55,"경기도 성남수정구 창곡동 521,경기도 성남수정구 창곡동 2-10 위례더힐55",경기도 성남시 수정구 위례순환로 150,20151231,1380.0
위례,경기도,하남시,,학암동,A10027686,위례롯데캐슬아파트,경기도 하남시 학암동 672 위례롯데캐슬아파트,경기도 하남시 위례중앙로 215,20160115,1673.0
위례,경기도,하남시,,학암동,A10027715,위례 그린파크푸르지오,경기도 하남시 학암동 673 위례 그린파크푸르지오,경기도 하남시 위례순환로 270,20160128,972.0
위례,서울특별시,송파구,,장지동,A10027632,송파 와이즈더샵,서울특별시 송파구 장지동 895 송파 와이즈더샵,서울특별시 송파구 위례광장로 270,20160226,390.0
위례,경기도,성남수정구,,창곡동,A10027595,위례센트럴푸르지오,경기도 성남수정구 창곡동 519 위례센트럴푸르지오,경기도 성남시 수정구 위례순환로 211,20160411,687.0
위례,서울특별시,송파구,,장지동,A10027553,위례2차아이파크아파트,서울특별시 송파구 장지동 884 위례2차아이파크아파트,서울특별시 송파구 위례광장로 193,20160526,495.0
위례,경기도,성남수정구,,창곡동,A10027509,위례 LH 35단지,경기도 성남수정구 창곡동 510 위례 LH 35단지,경기도 성남시 수정구 위례광장로 311,20160531,2568.0
위례,경기도,하남시,,학암동,A10027546,위례 센트로엘 아파트,경기도 하남시 학암동 662 위례 센트로엘 아파트,경기도 하남시 위례광장로 265,20160603,673.0
