kapt_code,kapt_name,addr_legal,addr_road,approval_date,approval_date_raw,household_count,bldg_count,pilot_guess,signal_name,signal_addr,signal_period,signal_score,human_match_status,human_reviewer,human_reviewed_at,reject_reason
A10028132,동탄역이지더원아파트,경기도 화성동탄구 영천동 672 동탄역이지더원아파트,경기도 화성시 동탄순환대로28길 17,2015-02-05,20150205,642,12,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10028002,동탄역KCC스위첸아파트,경기도 화성동탄구 청계동 303-14 동탄역KCC스위첸아파트,경기도 화성시 동탄청계로 303-14,2015-02-11,20150211,640,7,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10028055,동탄역 시범우남퍼스트빌,경기도 화성동탄구 청계동 35 동탄역 시범우남퍼스트빌,경기도 화성시 동탄대로시범길 276,2015-02-12,20150212,1442,16,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10028048,동탄역시범호반써밋,경기도 화성동탄구 청계동 525 동탄역시범호반써밋,경기도 화성시 동탄대로시범길 122,2015-02-12,20150212,1002,13,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10028164,SK뷰파크 아파트,"경기도 화성병점구 반월동 777,경기도 화성병점구 반월동 944 SK뷰파크 아파트",경기도 화성시 동탄원천로 382-37,2015-02-17,20150217,1967,25,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""반월동""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10028120,동탄역시범대원칸타빌,경기도 화성동탄구 청계동 516 동탄역시범대원칸타빌,경기도 화성시 동탄대로시범길 53,2015-03-30,20150330,498,9,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027928,동탄역센트럴푸르지오,경기도 화성동탄구 청계동 510-889 동탄역센트럴푸르지오,경기도 화성시 동탄순환대로21길 54,2015-06-12,20150612,1348,11,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027988,화성향남서봉마을 사랑으로 부영3단지,경기도 화성만세구 향남읍 상신리 328-21 화성향남서봉마을 사랑으로 부영3단지,경기도 화성시 상신하길로328번길 21,2015-06-23,20150623,1122,12,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027964,서봉마을 모아엘가아파트,경기도 화성만세구 향남읍 하길리 1473 서봉마을 모아엘가아파트,경기도 화성시 상신하길로274번길 61,2015-06-24,20150624,496,6,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027890,동탄역롯데캐슬알바트로스아파트,경기도 화성동탄구 청계동 510-582 동탄역롯데캐슬알바트로스아파트,경기도 화성시 동탄순환대로21길 53,2015-07-03,20150703,1416,16,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027966,동탄역호반써밋,경기도 화성동탄구 청계동 49-102 동탄역호반써밋,경기도 화성시 동탄순환대로22길 45,2015-07-10,20150710,922,9,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
