cluster_id,citycode,nodeid,nodenm,nodeno,api_lat,api_lon,list_lat,list_lon,coord_delta_m,recomputed_dist_m,api_radius_claim_m,reference_missing,direction_label,has_trunk_route,smoke_test_at,smoke_result,raw_snapshot_path,review_status,verified_by,verified_at,reject_reason,raw_citycode_response_path
A10023863,31130,GGB222001950,다산지금경기행복주택.다산지금데시앙,49829,37.6196667,127.1658333,37.6196667,127.1658333,0.0,148.6227908137062,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023863,31130,GGB222001951,다산지금경기행복주택.다산지금데시앙,49830,37.6198833,127.1658667,37.6198833,127.1658667,0.0,172.17776990786538,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023863,31130,GGB222001550,다산신도시입구,49817,37.6187333,127.168,37.6187333,127.168,0.0,175.59417355729713,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023863,31130,GGB222000846,다산지금경기행복주택,49391,37.6190333,127.16415,37.6190333,127.16415,0.0,185.55936703401437,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023863,31130,GGB222000836,다산지금경기행복주택,49390,37.6187,127.1638167,37.6187,127.1638167,0.0,202.2331970460241,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023863,31130,GGB222001630,다산신도시입구,49514,37.6193667,127.16815,37.6193667,127.16815,0.0,215.81354176796583,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023897,31020,GGB204000145,한화오벨리스크,5318,37.4737333,127.14095,37.4737333,127.14095,0.0,150.25569829865245,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023897,31020,GGB204000146,위례센트럴자이정문,5319,37.4722167,127.14055,37.4722167,127.14055,0.0,308.1878625708555,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023897,31020,GGB204000010,위례보미리즌빌,5317,37.4717667,127.1408167,37.4717667,127.1408167,0.0,344.30703849106493,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023897,31020,GGB204000240,성남시위례동행정복지센터.위례보미리즌빌,5069,37.4710833,127.1416333,37.4710833,127.1416333,0.0,401.5141296295608,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
