cluster_id,complex_name,addr_legal_raw,addr_query,addr_variant_used,type,status,lat,lon,crs,refined_text,dong_final,vw_level1_raw,vw_level2_raw,vw_level3_raw,vw_level4L_raw,vw_level4A_raw,vw_level4AC_raw,vw_level5_raw,vw_detail_raw,representative_method,parcel_count,parcel_success_count,parcel_excluded,centroid_spread_m,distance_from_anchor_km,coord_source,coord_fetched_at,coord_license_note,coord_geom_basis,coord_resolution,coord_uncertainty_m,qa_flag,error_code,needs_review,override_decision
A10027606,동탄역반도유보라아이비파크2.0 아파트,경기도 화성동탄구 영천동 716,경기도 화성시 동탄구 영천동 716,full_parcel,PARCEL,OK,37.20935611097153,127.11710623523211,EPSG:4326,경기도 화성시 동탄구 영천동 716,영천동,경기도,화성시 동탄구,,영천동,동탄5동,4159755000,716,동탄역반도유보라아이비파크2.0 402동,single_parcel,1,1,,0.0,4.36,vworld_geocoder_2.0,2026-09-03T02:12:47.648179+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027631,한강신도시 운양역 푸르지오,경기도 김포시 운양동 1306-2,경기도 김포시 운양동 1306-2,full_parcel,PARCEL,OK,37.65238583852942,126.68130134391468,EPSG:4326,경기도 김포시 운양동 1306-2,운양동,경기도,김포시,,운양동,운양동,4157058000,1306-2,한강신도시 운양 푸르지오 801동,single_parcel,1,1,,0.0,1.78,vworld_geocoder_2.0,2026-09-03T02:12:48.227638+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027632,송파 와이즈더샵,서울특별시 송파구 장지동 895,서울특별시 송파구 장지동 895,full_parcel,PARCEL,OK,37.47638909310709,127.14345176792108,EPSG:4326,서울특별시 송파구 장지동 895,장지동,서울특별시,송파구,,장지동,위례동,1171064700,895,송파와이즈더샵 101동,single_parcel,1,1,,0.0,0.55,vworld_geocoder_2.0,2026-09-03T02:12:48.829159+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027646,동탄역 신안인스빌리베라,경기도 화성동탄구 청계동 545,경기도 화성시 동탄구 청계동 545,full_parcel,PARCEL,OK,37.19392318393105,127.11791732220036,EPSG:4326,경기도 화성시 동탄구 청계동 545,청계동,경기도,화성시 동탄구,,청계동,동탄4동,4159754000,545,동탄역 신안인스빌리베라 1341동,single_parcel,1,1,,0.0,2.68,vworld_geocoder_2.0,2026-09-03T02:12:49.395125+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027686,위례롯데캐슬아파트,경기도 하남시 학암동 672,경기도 하남시 학암동 672,full_parcel,PARCEL,OK,37.47532702141247,127.15238506912712,EPSG:4326,경기도 하남시 학암동 672,학암동,경기도,하남시,,학암동,위례동,4145058500,672,위례롯데캐슬 6401동,single_parcel,1,1,,0.0,1.06,vworld_geocoder_2.0,2026-09-03T02:12:49.903138+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027691,미사강변13단지,경기도 하남시 망월동 949,경기도 하남시 망월동 949,full_parcel,PARCEL,OK,37.56871027685512,127.18867593032994,EPSG:4326,경기도 하남시 망월동 949,망월동,경기도,하남시,,망월동,미사2동,4145062000,949,미사강변도시13단지 1301동,single_parcel,1,1,,0.0,0.93,vworld_geocoder_2.0,2026-09-03T02:12:50.721596+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027692,위례더힐55,경기도 성남수정구 창곡동 521,경기도 성남시 수정구 창곡동 521,override_pick_parcel,PARCEL,OK,37.47002528856963,127.1549600876763,EPSG:4326,경기도 성남시 수정구 창곡동 521,창곡동,경기도,성남시 수정구,,창곡동,위례동,4113162500,521,위례더힐55 5501동,selected_parcel,2,1,창곡동 2-10,0.0,1.23,vworld_geocoder_2.0,2026-09-03T02:12:51.156636+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,parcel,50.0,,,False,PICK_PARCEL
A10027709,래미안위례아파트,경기도 성남수정구 창곡동 528,경기도 성남시 수정구 창곡동 528,full_parcel,PARCEL,OK,37.470075880405936,127.14447349952609,EPSG:4326,경기도 성남시 수정구 창곡동 528,창곡동,경기도,성남시 수정구,,창곡동,위례동,4113162500,528,래미안 위례 3401동,single_parcel,1,1,,0.0,0.35,vworld_geocoder_2.0,2026-09-03T02:12:51.864634+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027715,위례 그린파크푸르지오,경기도 하남시 학암동 673,경기도 하남시 학암동 673,full_parcel,PARCEL,OK,37.47364195071687,127.1554991357538,EPSG:4326,경기도 하남시 학암동 673,학암동,경기도,하남시,,학암동,위례동,4145058500,673,위례그린파크 푸르지오 6501동,single_parcel,1,1,,0.0,1.28,vworld_geocoder_2.0,2026-09-03T02:12:52.389204+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
A10027720,힐스테이트위례,경기도 성남수정구 창곡동 572,경기도 성남시 수정구 창곡동 572,full_parcel,PARCEL,OK,37.46541021937532,127.14452459958156,EPSG:4326,경기도 성남시 수정구 창곡동 572,창곡동,경기도,성남시 수정구,,창곡동,위례동,4113162500,572,힐스테이트 위례 5701동,single_parcel,1,1,,0.0,0.77,vworld_geocoder_2.0,2026-09-03T02:12:52.925292+00:00,Realtime query. Not stored per VWorld TOS.,parcel_centroid,,0.0,,,False,
