kapt_code,kapt_name,addr_legal,addr_road
A13805002,올림픽선수기자촌아파트,서울특별시 송파구 방이동 89 올림픽선수기자촌아파트,서울특별시 송파구 양재대로 1218
A13805003,신구블레스밸리,서울특별시 송파구 방이동 197 신구블레스밸리,서울특별시 송파구 위례성대로12길 25
A13812001,마천금호어울림2차,서울특별시 송파구 마천동 319 마천금호어울림2차,서울특별시 송파구 성내천로 314
A13812002,마천금호,서울특별시 송파구 마천동 304 마천금호,서울특별시 송파구 마천로57길 16
A13812003,금호어울림1차,서울특별시 송파구 마천동 575 금호어울림1차,서울특별시 송파구 성내천로 245
A13812004,마천우방,서울특별시 송파구 마천동 576 마천우방,서울특별시 송파구 성내천로 211
A13812005,송파파크데일2단지,서울특별시 송파구 마천동 607 송파파크데일2단지,서울특별시 송파구 성내천로47길 38
A13813002,오금우방,서울특별시 송파구 오금동 138 오금우방,서울특별시 송파구 성내천로 87
A13813003,오금삼성,서울특별시 송파구 오금동 160 오금삼성,서울특별시 송파구 문정로 197
A13813005,가락우창,서울특별시 송파구 오금동 164 가락우창,서울특별시 송파구 동남로24길 6
A13813006,오금현대백조,서울특별시 송파구 오금동 11 오금현대백조,서울특별시 송파구 양재대로72길 15
A13813008,오금대림,"서울특별시 송파구 오금동 19,서울특별시 송파구 오금동 2 오금대림","서울특별시 송파구 위례성대로 176,서울특별시 송파구 마천로7길 4"
A13813010,오금현대아파트,서울특별시 송파구 오금동 43 오금현대아파트,서울특별시 송파구 오금로35길 17
A13816002,가락동부센트레빌,서울특별시 송파구 가락동 95 가락동부센트레빌,서울특별시 송파구 송파대로32길 33
A13816005,송파롯데캐슬파인힐,서울특별시 송파구 가락동 79 송파롯데캐슬파인힐,서울특별시 송파구 중대로 121
A13816101,송파동부센트레빌,서울특별시 송파구 가락동 478 송파동부센트레빌,서울특별시 송파구 송파대로37길 29
A13816202,가락극동,서울특별시 송파구 가락동 192 가락극동,서울특별시 송파구 동남로18길 9
A13817001,래미안송파파인탑,서울특별시 송파구 송파동 243 래미안송파파인탑,서울특별시 송파구 오금로32길 31
A13817101,송파호수임광,서울특별시 송파구 송파동 33 송파호수임광,"서울특별시 송파구 송파대로48길 29,서울특별시 송파구 송파대로48길 34"
A13819001,잠실한솔,서울특별시 송파구 석촌동 285 잠실한솔,서울특별시 송파구 백제고분로 348
A13820001,문정3차푸르지오,서울특별시 송파구 문정동 117 문정3차푸르지오,서울특별시 송파구 송이로 257
A13820002,문정세양청마루,서울특별시 송파구 문정동 146 문정세양청마루,서울특별시 송파구 송이로31길 66
A13820004,가락1차현대아파트,서울특별시 송파구 문정동 3 가락1차현대아파트,서울특별시 송파구 동남로 160
A13820005,문정건영,"서울특별시 송파구 문정동 72-3,서울특별시 송파구 문정동 72-3 문정건영",서울특별시 송파구 새말로8길 12
A13820006,문정래미안,서울특별시 송파구 문정동 1 문정래미안,서울특별시 송파구 문정로 83
A13820007,문정시영,서울특별시 송파구 문정동 145 문정시영,서울특별시 송파구 송이로31길 56
A13820201,올림픽훼밀리타운,서울특별시 송파구 문정동 150 올림픽훼밀리타운,서울특별시 송파구 중대로 24
A13822001,잠실레이크팰리스,서울특별시 송파구 잠실동 44 잠실레이크팰리스,서울특별시 송파구 잠실로 88
A13822002,잠실동트리지움,서울특별시 송파구 잠실동 35 잠실동트리지움,서울특별시 송파구 잠실로 62
A13822003,잠실리센츠,서울특별시 송파구 잠실동 22 잠실리센츠,서울특별시 송파구 올림픽로 135
A13822004,잠실엘스아파트,서울특별시 송파구 잠실동 19 잠실엘스아파트,서울특별시 송파구 올림픽로 99
A13822301,갤러리아팰리스,서울특별시 송파구 잠실동 40 갤러리아팰리스,서울특별시 송파구 올림픽로 212
A13822701,잠실아시아선수촌,서울특별시 송파구 잠실동 86 잠실아시아선수촌,서울특별시 송파구 올림픽로4길 15
A13822702,"잠실우성1,2,3차","서울특별시 송파구 잠실동 101-1,서울특별시 송파구 잠실동 101-2 잠실우성1,2,3차",서울특별시 송파구 올림픽로4길 42
A13822902,잠실우성4차,서울특별시 송파구 잠실동 320 잠실우성4차,서울특별시 송파구 백제고분로18길 30
A13824001,포스코더샵스타리버,서울특별시 송파구 신천동 11-8 포스코더샵스타리버,서울특별시 송파구 올림픽로35길 93
A13824002,잠실더샵스타파크,서울특별시 송파구 신천동 7-14 잠실더샵스타파크,서울특별시 송파구 올림픽로35가길 10
A13824003,한신코아,서울특별시 송파구 신천동 11-9 한신코아,서울특별시 송파구 올림픽로35가길 11
A13824005,신천장미1차2차,"서울특별시 송파구 신천동 11,서울특별시 송파구 신천동 7 신천장미1차2차",서울특별시 송파구 올림픽로35길 104
A13824006,잠실파크리오,서울특별시 송파구 신천동 17 잠실파크리오,서울특별시 송파구 올림픽로 435
A13872502,롯데캐슬골드,서울특별시 송파구 신천동 7-18 롯데캐슬골드,서울특별시 송파구 올림픽로 269
A13872504,장미3차,서울특별시 송파구 신천동 11 장미3차,서울특별시 송파구 올림픽로35길 94
A13873701,오금현대백조(임대),서울특별시 송파구 오금동 11 오금현대백조(임대),서울특별시 송파구 양재대로72길 20
A13877501,송파삼성래미안,서울특별시 송파구 송파동 162 송파삼성래미안,서울특별시 송파구 오금로32길 14
A13879102,잠실5단지아파트,서울특별시 송파구 잠실동 27 잠실5단지아파트,서울특별시 송파구 송파대로 567
A13880105,가락2차쌍용아파트,서울특별시 송파구 가락동 21-6 가락2차쌍용아파트,서울특별시 송파구 송이로15길 31
A13880201,가락현대6차,서울특별시 송파구 가락동 55 가락현대6차,서울특별시 송파구 송이로19길 8
A13880204,가락대림아파트,서울특별시 송파구 가락동 70-19 가락대림아파트,서울특별시 송파구 송이로 88
A13880406,가락우성1차,서울특별시 송파구 가락동 96-1 가락우성1차,서울특별시 송파구 송파대로32길 8
A13880407,가락금호,서울특별시 송파구 가락동 95-1 가락금호,서울특별시 송파구 송파대로32길 15
A13880602,가락우성2차아파트,서울특별시 송파구 가락동 120-4 가락우성2차아파트,서울특별시 송파구 중대로12길 35
A13880603,가락한신,서울특별시 송파구 가락동 102 가락한신,서울특별시 송파구 송파대로 220
A13880701,가락미륭아파트,서울특별시 송파구 가락동 138 가락미륭아파트,서울특별시 송파구 동남로11길 4
A13880806,가락쌍용1차,서울특별시 송파구 가락동 140 가락쌍용1차,서울특별시 송파구 동남로 193
A13881005,가락래미안파크팰리스,서울특별시 송파구 가락동 165 가락래미안파크팰리스,서울특별시 송파구 동남로 225
A13881103,삼환가락,서울특별시 송파구 가락동 176 삼환가락,서울특별시 송파구 오금로 432
A13881701,송파파크데일1단지,서울특별시 송파구 마천동 582 송파파크데일1단지,서울특별시 송파구 성내천로37길 37
A13882401,문정푸르지오2차,서울특별시 송파구 문정동 19 문정푸르지오2차,서울특별시 송파구 송이로32길 37
A13882402,문정푸르지오1차,서울특별시 송파구 문정동 18 문정푸르지오1차,서울특별시 송파구 문정로 55
A13883601,잠실한양3차,서울특별시 송파구 방이동 225 잠실한양3차,서울특별시 송파구 양재대로 1089
A13883602,방이코오롱,"서울특별시 송파구 방이동 212-8,서울특별시 송파구 방이동 215 방이코오롱","서울특별시 송파구 오금로31길 27,서울특별시 송파구 오금로31길 28"
A13885102,한양아파트,서울특별시 송파구 송파동 119 한양아파트,서울특별시 송파구 가락로 187
A13885301,송파현대1차,서울특별시 송파구 송파동 163-14 송파현대1차,서울특별시 송파구 오금로32길 42
A13885303,송파미성,서울특별시 송파구 송파동 161 송파미성,서울특별시 송파구 오금로32길 10
A13885304,송파한양2차,서울특별시 송파구 송파동 151 송파한양2차,서울특별시 송파구 가락로 192
A13885306,가락삼익맨숀,서울특별시 송파구 송파동 166 가락삼익맨숀,서울특별시 송파구 오금로32길 5
A13886009,상아2차아파트,서울특별시 송파구 오금동 165 상아2차아파트,서울특별시 송파구 오금로 407
A13886701,잠실현대,서울특별시 송파구 잠실동 331 잠실현대,서울특별시 송파구 백제고분로18길 7
A13887301,풍납신성노바빌,서울특별시 송파구 풍납동 510 풍납신성노바빌,서울특별시 송파구 한가람로 468
A13887302,풍납동아한가람,서울특별시 송파구 풍납동 506 풍납동아한가람,서울특별시 송파구 한가람로 448
A13887403,현대리버빌2차아파트,서울특별시 송파구 풍납동 261 현대리버빌2차아파트,서울특별시 송파구 풍성로24길 42
A13887405,풍납 현대리버빌1차,서울특별시 송파구 풍납동 260 풍납 현대리버빌1차,서울특별시 송파구 토성로 37
A13887702,풍납미성,서울특별시 송파구 풍납동 219 풍납미성,서울특별시 송파구 풍성로 14
A13887901,송파현대힐스테이트,서울특별시 송파구 풍납동 511 송파현대힐스테이트,서울특별시 송파구 풍성로26길 31
A13895501,송파성원상떼빌,서울특별시 송파구 가락동 80 송파성원상떼빌,서울특별시 송파구 송파대로28길 27
A13895502,가락3차쌍용스윗닷홈(1~4동),"서울특별시 송파구 가락동 53,서울특별시 송파구 가락동 54,서울특별시 송파구 가락동 52 가락3차쌍용스윗닷홈(1~4동)","서울특별시 송파구 송이로19길 15,서울특별시 송파구 송이로21길 23,서울특별시 송파구 송이로19길 12-3"
A13895503,한화오벨리스크,서울특별시 송파구 가락동 78-1 한화오벨리스크,서울특별시 송파구 중대로 127
A41501001,북변건영,경기도 김포시 감정동 672 북변건영,경기도 김포시 봉화로167번길 35-9
A41501003,푸른마을신안실크벨리2차,경기도 김포시 감정동 694 푸른마을신안실크벨리2차,경기도 김포시 감정로 75
A41501004,초록마을효성,경기도 김포시 감정동 662 초록마을효성,경기도 김포시 봉화로181번길 31-15
A41501005,감정희영무지개,경기도 김포시 감정동 521-1 감정희영무지개,경기도 김포시 중봉로58번길 20
A41501006,북변삼환아파트,"경기도 김포시 감정동 659,경기도 김포시 감정동 671 북변삼환아파트","경기도 김포시 봉화로181번길 30,경기도 김포시 봉화로167번길 35-7"
A41501007,감정쌍용,경기도 김포시 감정동 517-1 감정쌍용,경기도 김포시 중봉로58번길 46
A41501008,북변한국,경기도 김포시 감정동 676 북변한국,경기도 김포시 봉화로181번길 31-14
A41501009,감정신화,경기도 김포시 감정동 674 감정신화,경기도 김포시 봉화로167번길 35-18
A41501010,푸른마을신안실크벨리1차,경기도 김포시 감정동 685 푸른마을신안실크벨리1차,경기도 김포시 감정로38번길 16
A41503002,북변풍년마을영풍,경기도 김포시 북변동 832 북변풍년마을영풍,경기도 김포시 김포대로926번길 137
A41503003,북변풍년마을동남,경기도 김포시 북변동 816 북변풍년마을동남,경기도 김포시 사우중로73번길 39
A41503004,북변풍년마을신일,경기도 김포시 북변동 812 북변풍년마을신일,경기도 김포시 김포대로926번길 88-27
A41503005,북변풍년마을삼성,경기도 김포시 북변동 806 북변풍년마을삼성,경기도 김포시 김포대로926번길 46
A41503007,김포북변대우,경기도 김포시 북변동 688 김포북변대우,경기도 김포시 봉화로182번길 33
A41503008,풍년마을서광신안아파트,경기도 김포시 북변동 802 풍년마을서광신안아파트,경기도 김포시 김포대로926번길 15
A41503009,풍년마을청구한라,경기도 김포시 북변동 815 풍년마을청구한라,경기도 김포시 사우중로73번길 11
